Country Name,Country Code,Currency Unit,Year,Getting Credit - Score,Resolving insolvency - Score,Starting a business - Score,Trading across borders - Score,Overall Score
Austria,AUT,Euro,2016,55.0,78.9,82.8,100.0,79.2
Austria,AUT,Euro,2017,55.0,78.9,83.1,100.0,79.3
Austria,AUT,Euro,2018,55.0,77.4,83.1,100.0,78.9
Austria,AUT,Euro,2019,55.0,77.5,83.2,100.0,78.9
Austria,AUT,Euro,2020,55.0,77.4,83.2,100.0,78.9
Belgium,BEL,Euro,2016,45.0,84.0,91.4,100.0,80.1
Belgium,BEL,Euro,2017,45.0,84.3,91.4,100.0,80.2
Belgium,BEL,Euro,2018,45.0,81.5,91.4,100.0,79.5
Belgium,BEL,Euro,2019,65.0,83.9,91.4,100.0,85.1
Belgium,BEL,Euro,2020,65.0,84.1,92.3,100.0,85.4
Cyprus,CYP,Euro,2016,65.0,71.2,89.2,88.4,78.5
Cyprus,CYP,Euro,2017,60.0,72.0,91.2,88.4,77.9
Cyprus,CYP,Euro,2018,60.0,72.2,91.2,88.4,78.0
Cyprus,CYP,Euro,2019,60.0,72.3,91.2,88.4,78.0
Cyprus,CYP,Euro,2020,60.0,72.5,92.0,88.4,78.2
Estonia,EST,Euro,2016,70.0,62.2,95.1,99.9,81.8
Estonia,EST,Euro,2017,70.0,62.3,95.1,99.9,81.8
Estonia,EST,Euro,2018,70.0,62.5,95.2,99.9,81.9
Estonia,EST,Euro,2019,70.0,62.5,95.3,99.9,81.9
Estonia,EST,Euro,2020,70.0,60.1,95.4,99.9,81.4
Finland,FIN,Euro,2016,60.0,93.8,92.4,92.4,84.7
Finland,FIN,Euro,2017,60.0,93.9,92.4,92.4,84.7
Finland,FIN,Euro,2018,60.0,92.8,92.4,92.4,84.4
Finland,FIN,Euro,2019,60.0,92.8,92.4,92.4,84.4
Finland,FIN,Euro,2020,60.0,92.7,93.5,92.4,84.7
France,FRA,Euro,2016,50.0,76.1,93.1,100.0,79.8
France,FRA,Euro,2017,50.0,76.6,93.3,100.0,80.0
France,FRA,Euro,2018,50.0,73.9,93.3,100.0,79.3
France,FRA,Euro,2019,50.0,74.1,93.3,100.0,79.4
France,FRA,Euro,2020,50.0,74.6,93.1,100.0,79.4
Germany,DEU,Euro,2016,70.0,91.9,82.7,91.8,84.1
Germany,DEU,Euro,2017,70.0,92.3,83.5,91.8,84.4
Germany,DEU,Euro,2018,70.0,90.3,83.5,91.8,83.9
Germany,DEU,Euro,2019,70.0,90.1,83.6,91.8,83.9
Germany,DEU,Euro,2020,70.0,89.8,83.7,91.8,83.8
Greece,GRC,Euro,2016,45.0,54.7,90.7,93.7,71.0
Greece,GRC,Euro,2017,45.0,55.1,90.7,93.7,71.1
Greece,GRC,Euro,2018,45.0,54.0,92.4,93.7,71.3
Greece,GRC,Euro,2019,45.0,53.8,92.4,93.7,71.2
Greece,GRC,Euro,2020,45.0,53.1,96.0,93.7,72.0
Ireland,IRL,Euro,2016,70.0,80.0,92.7,87.2,82.5
Ireland,IRL,Euro,2017,70.0,80.0,94.4,87.2,82.9
Ireland,IRL,Euro,2018,70.0,79.0,94.4,87.2,82.7
Ireland,IRL,Euro,2019,70.0,79.1,94.4,87.2,82.7
Ireland,IRL,Euro,2020,70.0,79.2,94.4,87.2,82.7
Italy,ITA,Euro,2016,45.0,76.1,86.7,100.0,76.9
Italy,ITA,Euro,2017,45.0,76.6,86.7,100.0,77.1
Italy,ITA,Euro,2018,45.0,77.0,86.8,100.0,77.2
Italy,ITA,Euro,2019,45.0,77.3,86.8,100.0,77.3
Italy,ITA,Euro,2020,45.0,77.5,86.8,100.0,77.3
Kosovo,XKX,Euro,2016,75.0,20.3,93.1,87.0,68.9
Kosovo,XKX,Euro,2017,75.0,20.9,95.5,92.5,71.0
Kosovo,XKX,Euro,2018,85.0,63.3,95.7,92.5,84.1
Kosovo,XKX,Euro,2019,85.0,63.4,95.7,93.8,84.5
Kosovo,XKX,Euro,2020,85.0,63.5,95.9,94.2,84.7
Latvia,LVA,Euro,2016,75.0,63.4,94.1,95.3,81.9
Latvia,LVA,Euro,2017,85.0,64.0,94.1,95.3,84.6
Latvia,LVA,Euro,2018,85.0,59.1,94.1,95.3,83.4
Latvia,LVA,Euro,2019,85.0,59.6,94.1,95.3,83.5
Latvia,LVA,Euro,2020,85.0,59.8,94.1,95.3,83.6
Lithuania,LTU,Euro,2016,70.0,45.7,92.9,97.7,76.6
Lithuania,LTU,Euro,2017,70.0,46.7,93.0,97.7,76.9
Lithuania,LTU,Euro,2018,70.0,46.9,93.1,97.7,76.9
Lithuania,LTU,Euro,2019,70.0,46.9,93.2,97.8,77.0
Lithuania,LTU,Euro,2020,70.0,46.7,93.3,97.8,77.0
Luxembourg,LUX,Euro,2016,15.0,45.4,88.4,100.0,62.2
Luxembourg,LUX,Euro,2017,15.0,45.4,88.7,100.0,62.3
Luxembourg,LUX,Euro,2018,15.0,45.4,88.8,100.0,62.3
Luxembourg,LUX,Euro,2019,15.0,45.5,88.7,100.0,62.3
Luxembourg,LUX,Euro,2020,15.0,45.5,88.8,100.0,62.3
Malta,MLT,Euro,2016,10.0,38.5,78.0,88.9,53.9
Malta,MLT,Euro,2017,30.0,39.1,80.2,88.9,59.6
Malta,MLT,Euro,2018,30.0,38.1,84.8,88.9,60.4
Malta,MLT,Euro,2019,35.0,38.1,84.9,88.9,61.7
Malta,MLT,Euro,2020,35.0,38.3,88.2,88.9,62.6
Montenegro,MNE,Euro,2016,85.0,65.1,86.6,91.9,82.2
Montenegro,MNE,Euro,2017,85.0,65.2,86.6,91.9,82.2
Montenegro,MNE,Euro,2018,85.0,65.6,86.6,91.9,82.3
Montenegro,MNE,Euro,2019,85.0,66.0,86.7,91.9,82.4
Montenegro,MNE,Euro,2020,85.0,66.1,86.7,91.9,82.4
Netherlands,NLD,Euro,2016,40.0,83.8,94.3,100.0,79.5
Netherlands,NLD,Euro,2017,40.0,84.0,94.3,100.0,79.6
Netherlands,NLD,Euro,2018,45.0,84.2,94.3,100.0,80.9
Netherlands,NLD,Euro,2019,45.0,84.3,94.3,100.0,80.9
Netherlands,NLD,Euro,2020,45.0,84.4,94.3,100.0,80.9
Portugal,PRT,Euro,2016,45.0,80.6,91.0,100.0,79.2
Portugal,PRT,Euro,2017,45.0,81.2,91.0,100.0,79.3
Portugal,PRT,Euro,2018,45.0,79.7,90.9,100.0,78.9
Portugal,PRT,Euro,2019,45.0,80.0,90.9,100.0,79.0
Portugal,PRT,Euro,2020,45.0,80.2,90.9,100.0,79.0
San Marino,SMR,Euro,2016,5.0,39.2,83.7,97.5,56.3
San Marino,SMR,Euro,2017,5.0,39.5,83.8,97.5,56.5
San Marino,SMR,Euro,2018,5.0,39.5,83.6,97.5,56.4
San Marino,SMR,Euro,2019,30.0,41.2,83.7,97.5,63.1
San Marino,SMR,Euro,2020,30.0,41.1,87.3,97.5,64.0
Slovak Republic,SVK,Euro,2016,70.0,70.0,81.8,100.0,80.5
Slovak Republic,SVK,Euro,2017,70.0,70.5,81.9,100.0,80.6
Slovak Republic,SVK,Euro,2018,70.0,66.1,82.0,100.0,79.5
Slovak Republic,SVK,Euro,2019,70.0,66.9,82.0,100.0,79.7
Slovak Republic,SVK,Euro,2020,70.0,65.5,84.8,100.0,80.1
Slovenia,SVN,Euro,2016,35.0,83.4,94.5,100.0,78.2
Slovenia,SVN,Euro,2017,35.0,84.0,94.6,100.0,78.4
Slovenia,SVN,Euro,2018,45.0,83.7,94.7,100.0,80.9
Slovenia,SVN,Euro,2019,45.0,83.7,92.9,100.0,80.4
Slovenia,SVN,Euro,2020,45.0,84.4,93.0,100.0,80.6
Spain,ESP,Euro,2016,60.0,75.8,86.4,100.0,80.6
Spain,ESP,Euro,2017,60.0,79.6,86.7,100.0,81.6
Spain,ESP,Euro,2018,60.0,78.7,86.7,100.0,81.4
Spain,ESP,Euro,2019,60.0,79.1,86.9,100.0,81.5
Spain,ESP,Euro,2020,60.0,79.2,86.9,100.0,81.5
